Animal count, Grass count, Free fields count, Dominating gene, Avg energy, Avg lifespan
5,2,28,61431,9.0,NaN
5,4,26,76103,8.0,NaN
7,6,27,76103,5.0,NaN
7,8,22,76103,4.0,NaN
3,10,24,05062,7.0,5.0
3,12,24,05062,6.0,5.0
3,13,24,37736,6.6666665,5.0
3,14,24,36300,7.3333335,5.0
3,15,24,36300,8.0,5.0
2,17,24,37736,10.5,6.0
2,19,23,37736,9.5,6.0
2,21,23,36300,8.5,6.0
1,23,23,36300,15.0,6.6666665
1,25,22,36300,14.0,6.6666665
1,27,21,36300,13.0,6.6666665
1,29,20,36300,12.0,6.6666665
1,29,21,36300,21.0,6.6666665
1,29,22,36300,30.0,6.6666665
1,29,22,36300,39.0,6.6666665
1,30,22,36300,43.0,6.6666665
1,32,22,36300,42.0,6.6666665
1,33,22,36300,46.0,6.6666665
1,35,22,36300,45.0,6.6666665
1,37,21,36300,44.0,6.6666665
1,39,21,36300,43.0,6.6666665
1,41,21,36300,42.0,6.6666665
1,42,22,36300,46.0,6.6666665
1,43,21,36300,50.0,6.6666665
1,45,21,36300,49.0,6.6666665
1,46,21,36300,53.0,6.6666665
1,47,21,36300,57.0,6.6666665
1,49,21,36300,56.0,6.6666665
1,51,21,36300,55.0,6.6666665
1,53,20,36300,54.0,6.6666665
1,55,20,36300,53.0,6.6666665
1,57,19,36300,52.0,6.6666665
1,59,19,36300,51.0,6.6666665
1,61,18,36300,50.0,6.6666665
1,63,18,36300,49.0,6.6666665
1,65,17,36300,48.0,6.6666665
1,67,17,36300,47.0,6.6666665
1,69,17,36300,46.0,6.6666665
1,71,17,36300,45.0,6.6666665
1,73,16,36300,44.0,6.6666665
1,74,16,36300,48.0,6.6666665
1,76,16,36300,47.0,6.6666665
1,75,16,36300,61.0,6.6666665
1,77,15,36300,60.0,6.6666665
1,79,15,36300,59.0,6.6666665
1,80,16,36300,63.0,6.6666665
1,82,15,36300,62.0,6.6666665
1,84,14,36300,61.0,6.6666665
1,86,13,36300,60.0,6.6666665
1,88,13,36300,59.0,6.6666665
1,90,12,36300,58.0,6.6666665
1,91,13,36300,62.0,6.6666665
1,93,13,36300,61.0,6.6666665
1,94,13,36300,65.0,6.6666665
1,95,13,36300,69.0,6.6666665
1,95,14,36300,78.0,6.6666665
1,97,14,36300,77.0,6.6666665
1,99,14,36300,76.0,6.6666665
1,101,14,36300,75.0,6.6666665
1,103,14,36300,74.0,6.6666665
1,105,14,36300,73.0,6.6666665
1,107,14,36300,72.0,6.6666665
